ID;Claim;Topic;Label;Difficulty;Source_URL;Evidence_Sentence
MS011;Koplik spots may appear inside the mouth two to three days after measles symptoms begin.;Symptoms;SUPPORTED;Easy;https://www.cdc.gov/measles/signs-symptoms/index.html;Tiny white spots (Koplik spots) may appear in the mouth 2–3 days after symptoms begin.
MS012;Ear infections occur in about 1 out of every 10 children with measles.;Symptoms;SUPPORTED;Easy;https://www.cdc.gov/measles/signs-symptoms/index.html;Ear infections occur in about 1 out of every 10 children with measles.
MS013;As many as 1 out of every 20 children with measles gets pneumonia, a leading cause of measles-related death in young children.;Symptoms;SUPPORTED;Medium;https://www.cdc.gov/measles/signs-symptoms/index.html;About 1 out of every 20 children with measles gets pneumonia, a leading cause of measles death in young children.
MS014;About 1 child out of every 1,000 who get measles will develop encephalitis.;Symptoms;SUPPORTED;Medium;https://www.cdc.gov/measles/signs-symptoms/index.html;Roughly 1 child in 1,000 measles cases develops encephalitis (swelling of the brain).
MS015;Measles can weaken the immune system and make the body “forget” how to protect itself against infections.;Symptoms;SUPPORTED;Hard;https://www.who.int/news-room/fact-sheets/detail/measles;Measles can weaken the immune system and make the body “forget” how to protect itself against infections.
MS016;Subacute sclerosing panencephalitis (SSPE) generally develops 7 to 10 years after a person has measles.;Symptoms;SUPPORTED;Hard;https://www.cdc.gov/measles/signs-symptoms/index.html;SSPE generally develops 7 to 10 years after a person has measles.
MS017;Two doses of MMR vaccine are about 97% effective at preventing measles, while one dose is about 93% effective.;Vaccination;SUPPORTED;Medium;https://www.cdc.gov/measles/about/index.html;"Two MMR doses are about 97% effective at preventing measles; one dose is about 93% effective."
MS018;CDC recommends two routine MMR doses for children: the first at 12–15 months and the second at 4–6 years.;Vaccination;SUPPORTED;Easy;https://www.cdc.gov/measles/hcp/vaccine-considerations/index.html;CDC recommends 2 MMR doses: first at 12–15 months and second at 4–6 years (before school entry).
MS019;Breastfeeding does not interfere with the immune response to MMR vaccination.;Vaccination;SUPPORTED;Easy;https://www.cdc.gov/measles/vaccines/index.html;Breastfeeding does not interfere with the response to the MMR vaccine.
MS020;The CDC states that there is no link between the MMR vaccine and autism.;Vaccination;SUPPORTED;Easy;https://www.cdc.gov/measles/vaccines/index.html;There is no link between the MMR vaccine and autism.
MS021;For measles post-exposure prophylaxis, CDC recommends MMR within 72 hours of exposure or immunoglobulin within 6 days.;Vaccination;SUPPORTED;Hard;https://www.cdc.gov/measles/hcp/vaccine-considerations/index.html;Two types of measles post-exposure prophylaxis: MMR within 72 hours of exposure, or IG within 6 days.
MS022;WHO recommends measles immunization for all susceptible children and adults when vaccination is not contraindicated.;Vaccination;SUPPORTED;Hard;https://www.who.int/health-topics/measles;WHO recommends immunization for all susceptible children and adults when measles vaccination is not contraindicated.
MS023;WHO says reaching all children with two measles vaccine doses should be the standard for national immunization programmes.;Vaccination;SUPPORTED;Hard;https://www.who.int/health-topics/measles;Reaching all children with 2 measles vaccine doses should be the standard for national immunization programmes.
MS024;ECDC notes that the MMR vaccine takes at least two weeks to become effective.;Vaccination;SUPPORTED;Medium;https://www.ecdc.europa.eu/en/news-events/community-spread-drives-ongoing-measles-transmission-europe;Because MMR takes at least two weeks to become effective, vaccination status should be checked well ahead of travel.
MS025;WHO reports that measles vaccination averted nearly 59 million deaths between 2000 and 2024.;Epidemiology;SUPPORTED;Hard;https://www.who.int/news-room/fact-sheets/detail/measles;Measles vaccination averted nearly 59 million deaths between 2000 and 2024.
MS026;In 2024 there were an estimated 95,000 measles deaths globally, mostly among unvaccinated or under-vaccinated children under age 5.;Epidemiology;SUPPORTED;Hard;https://www.who.int/news-room/fact-sheets/detail/measles;In 2024, an estimated 95,000 people died from measles globally, mostly unvaccinated or under-vaccinated children under 5.
MS027;WHO states that global immunization efforts led to an 88% drop in measles deaths between 2000 and 2024.;Epidemiology;SUPPORTED;Medium;https://www.who.int/news/item/28-11-2025-measles-deaths-down-88--since-2000--but-cases-surge;Global immunization efforts produced an 88% drop in measles deaths between 2000 and 2024.
MS028;In 2024, WHO/UNICEF estimates put first-dose measles vaccine coverage at about 84% and second-dose coverage at about 76%.;Epidemiology;SUPPORTED;Hard;https://www.who.int/news/item/28-11-2025-measles-deaths-down-88--since-2000--but-cases-surge;In 2024, about 84% of children received a first measles vaccine dose and 76% received the second (WHO/UNICEF estimates).
MS029;WHO guidance says at least 95% coverage with two measles vaccine doses is needed to stop transmission and protect communities from outbreaks.;Epidemiology;SUPPORTED;Medium;https://www.who.int/news/item/28-11-2025-measles-deaths-down-88--since-2000--but-cases-surge;WHO guidance: at least 95% coverage with two measles vaccine doses is needed to stop transmission and prevent outbreaks.
MS030;As of March 26, 2026, CDC reported 1,575 confirmed measles cases in the United States in 2026.;Epidemiology;SUPPORTED;Hard;https://www.cdc.gov/measles/data-research/index.html;As of March 26, 2026, 1,575 confirmed measles cases were reported in the United States in 2026.
MS031;CDC reports United States kindergarten MMR coverage fell from 95.2% (2019–2020) to 92.5% (2024–2025), leaving about 286,000 kindergartners at risk.;Epidemiology;SUPPORTED;Hard;https://www.cdc.gov/measles/data-research/index.html;Kindergarten MMR coverage in the United States fell from 95.2% (2019–2020) to 92.5% (2024–2025), leaving about 286,000 at risk.
MS032;A PubMed review notes measles R0 is often cited as 12–18, meaning one case infects about 12–18 others in a totally susceptible population.;Epidemiology;SUPPORTED;Hard;https://pubmed.ncbi.nlm.nih.gov/28757186/;For measles, R0 is often cited as 12–18, meaning each case infects about 12–18 others in a totally susceptible population.
MS033;There is no specific treatment for measles.;Treatment;SUPPORTED;Easy;https://www.who.int/news-room/fact-sheets/detail/measles;There is no specific treatment for measles.
MS034;Doctors may use antibiotics to treat pneumonia and ear and eye infections in people with measles.;Treatment;SUPPORTED;Easy;https://www.who.int/news-room/fact-sheets/detail/measles;Doctors may use antibiotics to treat pneumonia and ear and eye infections.
MS035;WHO advises that children or adults with measles should receive two doses of vitamin A supplements given 24 hours apart.;Treatment;SUPPORTED;Hard;https://www.who.int/news-room/fact-sheets/detail/measles;All children or adults with measles should receive two vitamin A doses, given 24 hours apart.
MS036;Most measles cases recover with supportive care such as hydration and antipyretics, since there is no specific antiviral therapy.;Treatment;SUPPORTED;Medium;https://www.ecdc.europa.eu/en/measles/facts;"There is no specific antiviral therapy for measles; most cases recover with supportive care such as hydration and antipyretics."
MS037;CDC notes there is no FDA-approved antiviral therapy specifically for treating measles.;Treatment;SUPPORTED;Hard;https://www.cdc.gov/measles/hcp/clinical-overview/index.html;There is no FDA-approved antiviral therapy specifically for measles treatment.
MS038;WHO says vitamin A supplementation is recommended for treating measles cases as part of integrated childhood illness care.;Treatment;SUPPORTED;Hard;https://www.who.int/teams/immunization-vaccines-and-biologicals/essential-programme-on-immunization/integration/linking-with-other-health-interventions/vitamin-a;WHO recommends vitamin A supplementation as treatment for measles cases within integrated childhood illness management.
MS039;CDC notes that in the 9th century a Persian doctor published one of the first written accounts of measles.;History;SUPPORTED;Easy;https://www.cdc.gov/measles/about/history.html;In the 9th century, a Persian doctor published one of the first written accounts of measles disease.
MS040;In 1757, Scottish physician Francis Home showed measles is caused by an infectious agent in patients’ blood.;History;SUPPORTED;Medium;https://www.cdc.gov/measles/about/history.html;In 1757, Francis Home showed measles is caused by an infectious agent in patients’ blood.
MS041;In 1912, measles became a nationally notifiable disease in the United States, requiring providers and labs to report diagnosed cases.;History;SUPPORTED;Medium;https://www.cdc.gov/measles/about/history.html;In 1912, measles became nationally notifiable in the United States, requiring reporting of diagnosed cases.
MS042;During a 1954 outbreak, Enders and Peebles succeeded in isolating measles in 13-year-old David Edmonston’s blood.;History;SUPPORTED;Hard;https://www.cdc.gov/measles/about/history.html;Researchers later succeeded in isolating measles from 13-year-old David Edmonston’s blood during a 1954 outbreak.
MS043;In 1963, John Enders and colleagues licensed an Edmonston-B measles vaccine in the United States.;History;SUPPORTED;Medium;https://www.cdc.gov/measles/about/history.html;In 1963, Enders and colleagues licensed an Edmonston-B measles vaccine in the United States.
MS044;Measles was declared eliminated from the United States in 2000, meaning continuous spread was absent for more than 12 months.;History;SUPPORTED;Medium;https://www.cdc.gov/measles/about/history.html;Measles was declared eliminated from the United States in 2000, meaning continuous spread was absent for more than 12 months.
MS045;CDC recommends that measles patients remain in Airborne Precautions for 4 days after rash onset in healthcare settings.;Policy;SUPPORTED;Medium;https://www.cdc.gov/infection-control/hcp/measles/index.html;Measles patients should remain in Airborne Precautions for 4 days after rash onset (Day 0).
MS046;After a measles patient leaves a room, CDC guidance says it may need to stay vacant for up to 2 hours to clear airborne contaminants.;Policy;SUPPORTED;Hard;https://www.cdc.gov/infection-control/hcp/measles/index.html;After a measles patient leaves, a room may need to stay vacant up to 2 hours for airborne-contaminant removal.
MS047;CDC guidance states measles is nationally notifiable, and cases should be reported to the appropriate health department.;Policy;SUPPORTED;Medium;https://www.cdc.gov/measles/php/guidance/index.html;Measles is nationally notifiable, and cases should be reported to the appropriate health department.
MS048;CDC surveillance guidance states that all reports of suspected measles cases should be investigated immediately.;Policy;SUPPORTED;Medium;https://www.cdc.gov/surv-manual/php/table-of-contents/chapter-7-measles.html;All reports of suspected measles cases should be investigated immediately.
MS049;ECDC advises that suspected measles cases should be reported to national health authorities without waiting for diagnostic test results.;Policy;SUPPORTED;Medium;https://www.ecdc.europa.eu/en/measles/facts;Suspected measles cases should be reported to the national health authority without waiting for diagnostic test results.
MS050;CDC advises not to give MMR vaccine and immune globulin at the same time because doing so invalidates the vaccine.;Policy;SUPPORTED;Hard;https://www.cdc.gov/measles/hcp/vaccine-considerations/index.html;"Do not administer MMR vaccine and immune globulin at the same time; doing so invalidates the vaccine."
MR001;The MMR vaccine causes autism in children.;Vaccine Safety;REFUTED;Medium;https://www.cdc.gov/measles/vaccines/index.html;There is no link between the MMR vaccine and autism.
MR002;Measles vaccines contain mercury (thimerosal) as a preservative.;Vaccine Safety;REFUTED;Medium;https://www.cdc.gov/vaccine-safety/about/thimerosal.html;MMR vaccines do not and never did contain thimerosal.
MR003;Vaccinating children with multiple vaccines overloads their immune system.;Vaccine Safety;REFUTED;Medium;https://www.cdc.gov/vaccines-children/about/index.html;Vaccines do not overload a child’s immune system.
MR004;The MMR vaccine includes aborted fetal tissue cells from recent abortions.;Conspiracy;REFUTED;Easy;https://www.chop.edu/vaccine-education-center/vaccine-safety/vaccine-ingredients/fetal-tissues;Vaccines for rubella (the “R” in MMR) are made by growing the viruses in fetal cells from a 1962 source, not new fetal tissue.
MR005;MMR vaccine is made from animal organs and poisons, not a virus.;Conspiracy;REFUTED;Easy;https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html;MMR vaccine is a preparation of measles, mumps, and rubella virus strains that are live and attenuated.
MR006;Reports of adverse events in VAERS mean those events were caused by the vaccine.;Vaccine Safety;REFUTED;Easy;https://www.cdc.gov/vaccine-safety-systems/vaers/;A report to VAERS does not mean that the vaccine caused the event.
MR007;Infants should not get the measles vaccine because their immune systems are too weak.;Vaccine Safety;REFUTED;Medium;https://www.cdc.gov/vaccines/hcp/imz-best-practices/contraindications-precautions.html?CDC_AAref_Val=https://www.cdc.gov/vaccines/hcp/acip-recs/general-recs/contraindications.html;"Infants age ≥6 months in an outbreak area or before travel should receive MMR; age-appropriate immune response is adequate."
MR008;Most people who get measles after vaccination become infertile.;Pseudoscience;REFUTED;Hard;https://www.nhs.uk/conditions/measles/;"The MMR vaccine does not cause infertility; serious side effects are extremely rare."
MR009;Unvaccinated people are always healthier than vaccinated ones.;Epidemiology;REFUTED;Hard;https://www.cdc.gov/measles/hcp/clinical-overview/index.html;"There is no evidence that not vaccinating improves overall health; measles infection can cause serious illness."
MR010;People with HIV or other immunodeficiencies can safely receive live measles vaccine.;Vaccine Safety;REFUTED;Medium;https://www.cdc.gov/vaccines/hcp/imz-best-practices/contraindications-precautions.html?CDC_AAref_Val=https://www.cdc.gov/vaccines/hcp/acip-recs/general-recs/contraindications.html;Immunocompromised persons should not receive MMR vaccine.
MR011;The MMR vaccine is given intravenously to reach the bloodstream quickly.;Vaccine Safety;REFUTED;Medium;https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html;MMR vaccine is administered by subcutaneous injection (under the skin), not intravenously.
MR012;Even if vaccinated, people can spread measles to others without symptoms.;Transmission;REFUTED;Hard;https://www.cdc.gov/measles/hcp/clinical-overview/index.html;"Infected vaccinated people are less likely to transmit measles; the vaccine prevents contagious infection."
MR013;Breast milk alone protects babies from measles, so they don't need vaccination.;Immunity;REFUTED;Medium;https://www.cdc.gov/vaccines/vpd/mmr/hcp/index.html;Passive antibodies from breastfeeding provide only temporary protection and are not a substitute for vaccination.
MR014;Malaria medications can cure measles infections.;Treatment;REFUTED;Easy;https://www.who.int/news-room/fact-sheets/detail/measles;"There is no specific treatment for measles; care is supportive (fluids, vitamins) but no anti-malarial drug is effective."
MR015;Antibiotics cure measles because it’s caused by bacteria.;Treatment;REFUTED;Medium;https://www.cdc.gov/measles/hcp/clinical-overview/index.html;Measles is caused by a virus, so antibiotics (which target bacteria) do not cure measles.
MR016;Vitamin A supplements will prevent you from getting measles.;Treatment;REFUTED;Medium;https://www.cdc.gov/measles/hcp/clinical-overview/index.html;Vitamin A does not prevent measles and is not a substitute for vaccination.
MR017;Measles disappeared in 1963 due to antibiotics, not vaccines.;History;REFUTED;Hard;https://www.cdc.gov/measles/about/history.html;Measles cases and deaths declined drastically only after the introduction and widespread use of the measles vaccine.
MR018;"Measles is not contagious; you can only catch it by touching someone’s rash.";Transmission;REFUTED;Easy;https://www.who.int/news-room/fact-sheets/detail/measles;Measles is a highly contagious airborne disease spread through breathing, coughing or sneezing, not by contact with rash.
MR019;If you are exposed to measles, quarantine alone (no vaccination) is enough to prevent spread.;Policy;REFUTED;Hard;https://www.cdc.gov/measles/about/index.html;MMR vaccination is the best way to prevent measles and its complications, even for those exposed.
MR020;Caught measles once, you don’t need the vaccine booster or childhood shots.;Immunity;REFUTED;Easy;https://www.cdc.gov/measles/about/history.html;People who have had measles have lifelong immunity, but vaccination is still recommended for those without reliable history.
MR021;Earthquakes and hurricanes cause measles outbreaks, not lack of vaccines.;Conspiracy;REFUTED;Easy;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;Outbreaks occur when measles is introduced into communities with low vaccination coverage, not due to natural disasters.
MR022;Vaccine ingredients are hidden, so the public can’t know what's being injected.;Conspiracy;REFUTED;Easy;https://www.cdc.gov/vaccines/basics/index.html;All vaccine ingredients (active and inactive) are published by manufacturers and reviewed by health authorities.
MR023;Most recent measles cases are caused by the vaccine strain, not wild virus.;Transmission;REFUTED;Medium;https://www.cdc.gov/measles/php/laboratories/index.html;"A PCR test can distinguish wild-type measles from vaccine strain; almost all outbreaks are from wild-type virus."
MR024;Officials admit that measles vaccines sometimes fail, so you should get the disease naturally.;Pseudoscience;REFUTED;Hard;https://www.cdc.gov/vaccines/vpd/mmr/hcp/index.html;"Breakthrough infections are rare; vaccination is vastly safer than getting measles."
MR025;Merck hid data about vaccine harm in documents, so MMR is dangerous.;Conspiracy;REFUTED;Hard;https://www.cdc.gov/vaccine-safety/vaccines/mmr.html;"No evidence from clinical trials or monitoring supports hidden harm; major studies confirm MMR safety."
MR026;Multiple doses of MMR overload a child's immune system and cause chronic illness.;Vaccine Safety;REFUTED;Hard;https://www.cdc.gov/vaccines/basics/index.html;"Children encounter thousands of antigens daily; even 10,000 vaccines at once would still be below natural exposure in a day."
MR027;MMR was fast-tracked without proper testing, so side effects are unknown.;Vaccine Safety;REFUTED;Hard;https://www.cdc.gov/vaccine-safety/vaccines/mmr.html;MMR went through full clinical trials for safety and efficacy before licensure. 
MR028;There is a secret government program tracking people through their vaccine shots.;Conspiracy;REFUTED;Easy;https://www.cdc.gov/vaccines/basics/index.html;"No microchips or tracking devices are in any vaccines; this is a baseless conspiracy theory."
MR029;Vaccinated people spread measles more than unvaccinated because they carry the virus silently.;Transmission;REFUTED;Hard;https://www.cdc.gov/measles/about/index.html;"The vaccine virus does not circulate in the community; vaccinated people rarely get or transmit wild measles."
MR030;The measles virus is man-made and deliberately released through vaccines.;Conspiracy;REFUTED;Easy;https://www.who.int/news/item/11-12-2025-who-expert-group-s-new-analysis-reaffirms-there-is-no-link-between-vaccines-and-autism;"There is no evidence that measles virus is man-made; measles is a natural human virus that has circulated for centuries."
MR031;Vaccines cause immune disorders, which is why more vaccinated kids have allergies now.;Vaccine Safety;REFUTED;Hard;https://www.chop.edu/vaccine-education-center/vaccine-safety/vaccines-and-other-conditions/asthma-allergies;"Vaccines do not cause immune disorders or increase allergies; such conditions are unrelated to vaccination."
MR032;All studies on measles vaccine safety are biased and funded by pharma.;Vaccine Safety;REFUTED;Medium;https://www.cdc.gov/mmwr/volumes/68/wr/mm6835a5.htm;"Independent studies by CDC and WHO confirm measles vaccine safety; no credible evidence shows pharma bias in results."
MR033;Essential oils or homeopathy can prevent measles instead of vaccines.;Pseudoscience;REFUTED;Easy;https://www.who.int/news-room/fact-sheets/detail/measles;"There is no evidence that homeopathic products or essential oils can prevent measles; vaccination is the proven prevention."
MR034;Breastfeeding alone is sufficient to protect infants from measles.;Immunity;REFUTED;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;"Maternal antibodies from breastfeeding protect an infant only about 6 months; after that, babies need vaccination for protection."
MR035;Genetic tests can tell who will get autism from the measles vaccine.;Conspiracy;REFUTED;Hard;https://www.cdc.gov/vaccine-safety-systems/vaers/?CDC_AAref_Val=https://www.cdc.gov/vaccinesafety/ensuringsafety/monitoring/vaers/index.html;No genetic or other test can predict vaccine-induced autism, as no causal link between MMR and autism exists.
MR036;Measles vaccination was stopped in some countries because it was causing outbreaks.;Policy;REFUTED;Medium;https://www.cdc.gov/measles/about/history.html;"Vaccine programs are not stopped due to outbreaks; rather, outbreaks occur where vaccination rates are low."
MR037;The measles vaccine was abandoned because it mutated into a harmful strain.;Conspiracy;REFUTED;Easy;https://www.cdc.gov/measles/php/laboratories/index.html;Vaccine strains are well-characterized and do not revert to dangerous forms in the community.
MR038;Measles is only dangerous if you already have another illness.;Symptoms;REFUTED;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;"Measles can be severe even in healthy individuals; complications like pneumonia or encephalitis occur regardless of prior health."
MR039;Imported measles cases are only a problem for countries with tropical climates.;Epidemiology;REFUTED;Medium;https://www.cdc.gov/measles/about/index.html;All countries, including temperate ones, can have measles cases if the virus is imported by travelers.
MR040;Deleting vaccine records solves the vaccine injury problem.;Policy;REFUTED;Hard;https://www.cdc.gov/mmwr/volumes/68/wr/mm6835a5.htm;"Tracking and monitoring vaccinations is essential for public health; deleting records would harm disease control."
MR041;Measles survivors report health improvements after infection due to immune boosting.;Pseudoscience;REFUTED;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;"There is no scientific basis for health improvements from measles; any such claims are anecdotal and not supported by evidence."
MR042;Anti-vaccine campaigns are funded by natural health supplements industry.;Conspiracy;REFUTED;Hard;https://www.cdc.gov/measles/hcp/clinical-overview/index.html;"Major anti-vaccine claims lack evidence; public health authorities and independent studies agree on vaccine safety."
MR043;MMR vaccination can be delayed indefinitely until there’s a guaranteed 100% safety record.;Policy;REFUTED;Medium;https://www.cdc.gov/measles/hcp/clinical-overview/index.html;No medical intervention is 100% risk-free, but the benefits of timely measles vaccination far outweigh the minimal risks.
MR044;Once we eradicate measles in the U.S., we can stop vaccination programs entirely.;Policy;REFUTED;Medium;https://www.cdc.gov/measles/about/history.html;Even after elimination, continued vaccination is needed to prevent re-introduction via imported cases.
MR045;Vitamin supplements can replace measles vaccine for immunity.;Pseudoscience;REFUTED;Medium;https://www.who.int/news-room/fact-sheets/detail/measles;"No vitamin or supplement can substitute for measles vaccine; vaccination is required to develop immunity."
MR046;People with natural immunity from measles benefit from skipping their vaccines afterward.;Immunity;REFUTED;Easy;https://www.cdc.gov/measles/hcp/clinical-overview/index.html;"Healthcare providers rely on documented immunity; people with confirmed past measles are not given vaccine, but missing documentation means vaccine is needed."
MR047;The MMR vaccine was a conspiracy to reduce population by causing sterility.;Conspiracy;REFUTED;Easy;https://www.who.int/news/item/11-12-2025-who-expert-group-s-new-analysis-reaffirms-there-is-no-link-between-vaccines-and-autism;There is no evidence linking MMR vaccine to sterility or any form of population control.
MR048;"Government health officials hide that measles is mild to avoid panic; vaccines aren’t needed.";Conspiracy;REFUTED;Hard;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;"Measles is highly contagious and can be fatal; public health guidance emphasizes vaccination to prevent serious illness."
MR049;Local measles outbreaks only happen because doctors over-report them for research grants.;Conspiracy;REFUTED;Easy;https://www.cdc.gov/measles/about/history.html;Case reporting is required for public health tracking. Outbreaks are identified based on laboratory confirmation, not physician incentives.
MR050;Homeopathic remedies can safely stop a measles epidemic without vaccines.;Pseudoscience;REFUTED;Easy;https://www.who.int/news-room/fact-sheets/detail/measles;"There is no evidence that homeopathy or any alternative remedy can prevent or stop measles; vaccination is the only proven method."
MM001;MMR vaccines contain aluminum adjuvants similar to some other childhood vaccines.;Vaccine Safety;MISLEADING;Hard;https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html;It contains no adjuvant and no preservative.
MM002;Measles vaccine virus is grown in aborted fetal cells.;Vaccine Safety;MISLEADING;Hard;https://www.chop.edu/vaccine-education-center/vaccine-safety/vaccine-ingredients/fetal-tissues;"Vaccines for rubella (the ""R"" in MMR) are made by growing the viruses in fetal cells."
MM003;Natural immunity from measles is always stronger than vaccine immunity, so vaccines aren't needed.;Immunity;MISLEADING;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Estimates show that 1–3 out of 1,000 children with measles will die from complications.
MM004;Vaccine Adverse Event Reporting System (VAERS) data show thousands of serious adverse events after MMR.;Vaccine Safety;MISLEADING;Medium;https://publichealth.jhu.edu/2022/what-vaers-is-and-isnt;VAERS is a publicly available database of reports that have not been verified. It simply contains whatever people have voluntarily reported.
MM005;Measles was officially eliminated in the U.S. in 2000, so measles vaccination is no longer necessary.;Epidemiology;MISLEADING;Medium;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;However, measles remains present in many other countries and can be brought into the United States by unvaccinated travelers.
MM006;Vaccinating 90% of the population is enough to stop measles from spreading.;Epidemiology;MISLEADING;Medium;https://www.who.int/news-room/questions-and-answers/item/herd-immunity-lockdowns-and-covid-19;Herd immunity against measles requires about 95% of a population to be vaccinated.
MM007;One dose of the MMR vaccine provides full protection against measles.;Vaccine Safety;MISLEADING;Medium;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html;1 dose is 93% effective and 2 doses are 97% effective.
MM008;Infants are protected from measles by maternal antibodies for their entire first year.;Immunity;MISLEADING;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Measles antibodies that crossed the placenta help protect the infant for the first 6 months of life... these antibodies wane... so infants age 6-11 months have little protection.
MM009;People vaccinated with MMR cannot spread measles at all.;Epidemiology;MISLEADING;Medium;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html;Approximately 5% to 15% of people who receive MMR will develop a mild rash 7 to 12 days after vaccination. If this occurs, it does not mean the person is infectious.
MM010;Getting measles gives you stronger overall immunity, like a super-vaccine effect.;Immunity;MISLEADING;Hard;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Measles can result in ... immune amnesia (wiping out of prior immune protection).
MM011;High-dose vitamin A supplements will cure measles without the need for medical care.;Treatment;MISLEADING;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;There is currently no antiviral medication to treat measles. The goal of medical care is to relieve symptoms and address complications such as bacterial infections. ... supportive care (which may include vitamin A).
MM012;Antibiotics are needed to cure measles infections.;Treatment;MISLEADING;Medium;https://www.cdc.gov/measles/media/pdfs/2025/05/hcp-caring-for-patients-measles-fact-sheet.pdf;There is no evidence to support routine use of antibiotics for measles treatment.
MM013;Measles outbreaks occur mainly because people refuse vaccination, so compliant people have nothing to worry about.;Policy;MISLEADING;Medium;https://www.cdc.gov/measles/media/pdfs/2025/05/hcp-caring-for-patients-measles-fact-sheet.pdf;For those who cannot or prefer not to get vaccinated, risk of measles infection and severe illness during an outbreak is higher.
MM014;Before vaccines, measles very rarely caused death in children, so vaccine prevented few deaths.;History;MISLEADING;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Estimates show that 1-3 out of 1,000 children with measles will die from complications.
MM015;Once you've had measles, you're immune for life and have no need for vaccination or testing.;Immunity;MISLEADING;Medium;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html;CDC considers people who received 2 doses ... protected for life, and they do not ever need a booster dose.
MM016;Vaccine-induced immunity fades after a few years, unlike natural immunity from infection.;Immunity;MISLEADING;Hard;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html;CDC considers people who received 2 doses of measles vaccine ... protected for life, and they do not ever need a booster dose.
MM017;People who travel to countries with measles outbreaks don't need extra vaccines if they've been vaccinated as children.;Policy;MISLEADING;Medium;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;Measles remains present in many other countries and can be brought into the United States by unvaccinated travelers.
MM018;Natural measles infection improves overall immune health more than vaccination does.;Immunity;MISLEADING;Hard;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Measles can result in ... immune amnesia (wiping out of prior immune protection).
