ID;Claim;Ground Truth;Predicted;Justification;auto_category;auto_grounding_rate;manual_category;Notizen;Ground-Truh Quellen
MR014;Malaria medications can cure measles infections.;REFUTED;REFUTED;According to the provided evidence, there is no specific antiviral therapy for the treatment of measles. While ribavirin and interferon-_ have demonstrated reductions in severity and complications in small clinical trials and case reports, they are not considered standard treatments for measles ([3]). The only widely recommended therapy is vitamin A supplementation ([3]). Therefore, the claim that malaria medications can cure measles infections is refuted.;minor_hallucination;0,0%;FREE;Inhalt zur fehlenden antiviralen Standardtherapie und Vitamin A ist medizinisch korrekt.;https://www.who.int/news-room/fact-sheets/detail/measles
MR014;Malaria medications can cure measles infections.;REFUTED;REFUTED;According to the provided evidence, there is no specific antiviral therapy for the treatment of measles ([4], [5]). Malaria medications are not mentioned as a treatment for measles in any of the sources.;minor_hallucination;0,0%;FREE;Korrekte Aussage zur fehlenden spezifischen antiviralen Therapie.;https://www.who.int/news-room/fact-sheets/detail/measles
MR015;Antibiotics cure measles because it’s caused by bacteria.;REFUTED;REFUTED;The CDC explicitly states measles is a viral infection caused by a virus, not bacteria. Antibiotics are ineffective against viral infections. The evidence provided confirms measles is transmitted via respiratory droplets and has no bacterial origin, making the claim that antibiotics cure it scientifically incorrect.;minor_hallucination;0,0%;FREE;Korrekte Virologie – Masern viral, nicht bakteriell, daher Antibiotika unwirksam.;https://www.cdc.gov/measles/hcp/clinical-overview/index.html
MR015;Antibiotics cure measles because it’s caused by bacteria.;REFUTED;REFUTED;The CDC explicitly states that measles is a viral infection caused by a virus, not bacteria. Antibiotics are ineffective against viral infections. The retrieved evidence consistently identifies measles as a viral disease, directly contradicting the claim that it is bacterial and thus treatable with antibiotics.;minor_hallucination;0,0%;FREE;Korrekte Virologie zur viralen Natur von Masern.;https://www.cdc.gov/measles/hcp/clinical-overview/index.html
MR016;Vitamin A supplements will prevent you from getting measles.;REFUTED;NOT_ENOUGH_EVIDENCE;The evidence states that vitamin A supplementation reduces morbidity and mortality in measles cases, particularly in deficient children, but does not address whether it prevents infection. The claim about prevention is not explicitly supported or refuted by the retrieved evidence, which focuses on treatment rather than prevention. Other documents emphasize vaccination as essential for prevention, but no evidence directly links vitamin A to preventing measles.;minor_hallucination;0,0%;FREE;Wichtige Unterscheidung zwischen Behandlungs- und Präventionsrolle von Vitamin A korrekt erkannt.;"https://www.cdc.gov/measles/hcp/clinical-overview/index.html
https://www.who.int/teams/immunization-vaccines-and-biologicals/essential-programme-on-immunization/integration/linking-with-other-health-interventions/vitamin-a"
MR018;"Measles is not contagious; you can only catch it by touching someone’s rash.";REFUTED;REFUTED;The claim is contradicted by multiple CDC sources stating measles is highly contagious via respiratory droplets (coughing/sneezing) and can spread 4 days before the rash appears. Evidence also shows 90% of close contacts get infected, refuting the idea it's only transmitted by touching a rash.;minor_hallucination;50,0%;FREE;Korrekte Aussagen zur respiratorischen Übertragung und 90%-Ansteckungswahrscheinlichkeit.;https://www.who.int/news-room/fact-sheets/detail/measles
MR020;Caught measles once, you don’t need the vaccine booster or childhood shots.;REFUTED;NOT_ENOUGH_EVIDENCE;The retrieved evidence focuses on measles prevention strategies, vaccine efficacy, and outbreak control but does not address whether prior measles infection eliminates the need for vaccination. None of the sources explicitly discuss the relationship between natural immunity from measles and the necessity of vaccine boosters or childhood shots. The claim requires specific information about immune protection duration or vaccine necessity post-infection, which is absent in the provided evidence.;minor_hallucination;0,0%;FREE;Modell hält sich zurück, obwohl etabliertes Wissen eine klare Antwort ermöglicht hätte. Vorsichtig aber legitim.;https://www.cdc.gov/measles/about/history.html
MR022;Vaccine ingredients are hidden, so the public can’t know what's being injected.;REFUTED;MISLEADING;"While it's true that some vaccine ingredients may be listed as ""inactive"" or in scientific terms, the complete list of components is always disclosed by manufacturers and health organizations. The claim that the public can't know what's being injected is misleading because this information is publicly available.";minor_hallucination;0,0%;MINOR;Die Aussage zur Offenlegung von Impfstoffinhaltsstoffen stimmt zwar, ist aber sehr spezifisch formuliert ohne dass dies aus den Belegen kommt.;https://www.cdc.gov/vaccines/basics/index.html
MR022;Vaccine ingredients are hidden, so the public can’t know what's being injected.;REFUTED;MISLEADING;While it's true that some vaccine ingredients may not be immediately apparent to the public, this does not mean they are hidden. Vaccine manufacturers are required by law to disclose their ingredients and provide information about them. The claim oversimplifies the situation by suggesting a conspiracy rather than acknowledging the regulatory transparency in place.;minor_hallucination;0,0%;MINOR;Sehr spezifische rechtliche Aussage ohne Belegbasis. Inhaltlich aber korrekt.;https://www.cdc.gov/vaccines/basics/index.html
MR022;Vaccine ingredients are hidden, so the public can’t know what's being injected.;REFUTED;REFUTED;"Vaccine ingredients are publicly available through official sources like the CDC and FDA websites, which list all components for transparency and safety. Regulatory agencies require manufacturers to disclose ingredients as part of the approval process. The claim that they are ""hidden"" is misleading, as this information is accessible to the public.";minor_hallucination;0,0%;MINOR;Sehr konkrete institutionelle Aussage zur Offenlegung über CDC und FDA. Inhaltlich richtig, aber spezifisch ohne Belegbasis.;https://www.cdc.gov/vaccines/basics/index.html
MR022;Vaccine ingredients are hidden, so the public can’t know what's being injected.;REFUTED;MISLEADING;"The retrieved evidence does not address vaccine ingredient transparency. It focuses on immunogenicity, safety, and licensure processes, not whether ingredients are concealed. Public access to vaccine ingredients is typically available through official sources, but the claim's assertion about ""hidden"" ingredients is not supported or refuted by the provided neutral statements.";minor_hallucination;0,0%;FREE;Korrekte Selbstauskunft dass die Belege die Transparenz-Frage nicht direkt adressieren.;https://www.cdc.gov/vaccines/basics/index.html
MR023;Most recent measles cases are caused by the vaccine strain, not wild virus.;REFUTED;REFUTED;Measles is caused by the measles virus (a wild strain), not the vaccine strain. The MMR vaccine contains a live attenuated measles virus, which is designed to be non-pathogenic and does not cause measles disease. Outbreaks are typically due to the wild virus, and vaccine-derived strains are not a recognized cause of measles cases. The claim contradicts established virology and epidemiology.;minor_hallucination;0,0%;FREE;Korrekte Virologie zum Unterschied zwischen Wildvirus und attenuiertem Impfvirus.;https://www.cdc.gov/measles/php/laboratories/index.html
MR028;There is a secret government program tracking people through their vaccine shots.;REFUTED;MISLEADING;The retrieved evidence discusses vaccination tracking systems and post-marketing surveillance, which are standard public health practices to monitor vaccine efficacy and safety, not secret government programs. None of the sources mention or support the idea of a covert tracking initiative related to vaccines. The claim is not substantiated by the provided information.;minor_hallucination;0,0%;FREE;Korrekte Unterscheidung zwischen normaler Public-Health-Surveillance und behaupteten 'geheimen Programmen'.;https://www.cdc.gov/vaccines/basics/index.html
MR038;Measles is only dangerous if you already have another illness.;REFUTED;MISLEADING;While the provided evidence does not explicitly state that measles is dangerous only if you already have another illness, it fails to mention any such condition. The claim oversimplifies the risk of measles by implying that it's only harmful in conjunction with other diseases, which is not supported by the available information.;hallucination_free;100,0%;FREE;Korrekte Beobachtung dass die Belege die Frage nicht direkt adressieren.;https://www.nfid.org/resource/frequently-asked-questions-about-measles/
MS002;People can become infected if they breathe contaminated air or touch a contaminated surface and then touch their eyes, nose, or mouth.;SUPPORTED;SUPPORTED;This claim is supported by parametric knowledge as it is a well-established fact that many infectious diseases, including common cold viruses and COVID-19, can spread through respiratory droplets produced when an infected person coughs, sneezes, or talks. Additionally, the virus can survive on surfaces and objects, and transmission can occur if a person touches a contaminated surface and then touches their eyes, nose, or mouth.;hallucination_free;100,0%;FREE;Modell stellt offen klar dass es eigenes Wissen nutzt. Beispiele sind allgemein bekannt.;https://www.cdc.gov/measles/causes/index.html
MS002;People can become infected if they breathe contaminated air or touch a contaminated surface and then touch their eyes, nose, or mouth.;SUPPORTED;SUPPORTED;The provided evidence from CDC and PubMed confirms that measles, a highly contagious disease, can spread through contaminated air or surfaces. According to the CDC, measles virus can spread through coughing and sneezing (evidence [4]), and it lives in the nose and throat mucus of an infected person (evidence [4]). Furthermore, if other people breathe the contaminated air or touch the infected surface and then touch their eyes, noses, or mouths, they can become infected (evidence [1]).;major_hallucination;0,0%;FREE;Aussagen zur Übertragung sind plausibel und entsprechen dem allgemeinen Wissensstand.;https://www.cdc.gov/measles/causes/index.html
MS003;"Measles spreads only from person to person; animals do not get or spread measles.";SUPPORTED;SUPPORTED;The provided evidence, particularly from CDC and PubMed sources, consistently states that measles is a human disease transmitted through human-to-human contact. No evidence suggests that animals get or spread measles.;major_hallucination;0,0%;FREE;Allgemeine korrekte Aussage zur menschlichen Übertragung.;https://www.cdc.gov/measles/causes/index.html
MS003;"Measles spreads only from person to person; animals do not get or spread measles.";SUPPORTED;SUPPORTED;"The CDC evidence confirms measles spreads exclusively through human-to-human contact via respiratory droplets. The PubMed article explicitly states the measles virus ""became strictly human, without animal reservoirs,"" directly supporting the claim that animals do not get or spread measles. While related morbilliviruses affect animals, the measles virus itself does not infect or transmit through animals.";major_hallucination;33,3%;FREE;Direktes Zitat zum 'strikt menschlichen' Virus passt zur Forschungsliteratur.;https://www.cdc.gov/measles/causes/index.html
MS003;"Measles spreads only from person to person; animals do not get or spread measles.";SUPPORTED;SUPPORTED;"The evidence confirms measles is transmitted exclusively between humans via aerosols (CDC sources) and notes the measles virus has become ""strictly human"" without animal reservoirs (PubMed). While related morbilliviruses affect animals, the claim specifically addresses measles, which does not infect or spread through animals.";major_hallucination;50,0%;FREE;Direkte Zitate zur menschlichen Übertragung passen zur Forschungsliteratur.;https://www.cdc.gov/measles/causes/index.html
MS003;"Measles spreads only from person to person; animals do not get or spread measles.";SUPPORTED;SUPPORTED;"The CDC evidence confirms measles spreads exclusively through human-to-human contact via respiratory droplets. The PubMed source explicitly states the measles virus ""has adapted perfectly to the human species, becoming strictly human, without animal reservoirs,"" directly supporting the claim that animals do not get or spread measles. No evidence contradicts this assertion.";major_hallucination;33,3%;FREE;Direktes Zitat zur menschlichen Übertragung passt zur Forschungsliteratur.;https://www.cdc.gov/measles/causes/index.html
MS004;A person with measles can spread it from 4 days before through 4 days after the rash appears.;SUPPORTED;SUPPORTED;According to [1], an infected person can spread measles from 4 days before through 4 days after the rash appears. This claim is explicitly supported by the provided evidence.;major_hallucination;0,0%;FREE;Aussage zum 4-Tage-Übertragungsfenster ist eine etablierte CDC-Information.;https://www.cdc.gov/measles/causes/index.html
MS004;A person with measles can spread it from 4 days before through 4 days after the rash appears.;SUPPORTED;SUPPORTED;The claim that a person with measles can spread it from 4 days before through 4 days after the rash appears is explicitly supported by the information provided in [1]. The CDC states that an infected person can spread measles to others even before knowing they have the disease, and this can occur from 4 days before through 4 days after the rash appears.;major_hallucination;50,0%;FREE;Korrekte Wiedergabe der CDC-Information zum Übertragungszeitraum.;https://www.cdc.gov/measles/causes/index.html
MS004;A person with measles can spread it from 4 days before through 4 days after the rash appears.;SUPPORTED;SUPPORTED;The CDC explicitly states in evidence [1] that measles can be spread from 4 days before the rash appears through 4 days after, directly confirming the claim. Other evidence mentions transmission routes and symptoms but does not contradict this timeline. No conflicting information is present.;major_hallucination;33,3%;FREE;Korrekte Wiedergabe des CDC-Übertragungsfensters von 4 Tagen vor und nach dem Ausschlag.;https://www.cdc.gov/measles/causes/index.html
MS007;Measles is most contagious during the prodromal phase (about 2–4 days) marked by intense coughing.;SUPPORTED;SUPPORTED;According to the Centers for Disease Control and Prevention (CDC), measles is most contagious from approximately 4 days before, through 4 days after, the rash appears. During this time, an infected person can spread measles germs to others by coughing, sneezing, or breathing. The prodromal phase, which includes symptoms like fever, runny nose, and intense coughing, typically occurs before the appearance of the rash but falls within the contagious period.;minor_hallucination;0,0%;FREE;Inhalt zur Ansteckungszeit und Prodromalphase ist medizinisch korrekt.;https://www.ecdc.europa.eu/en/measles/facts
MS007;Measles is most contagious during the prodromal phase (about 2–4 days) marked by intense coughing.;SUPPORTED;REFUTED;"Measles is contagious from 4 days before the rash appears (prodromal phase) until 4 days after the rash resolves. While the prodromal phase is part of the contagious period, the claim that it is ""most contagious"" during this phase is misleading. The virus is transmitted via respiratory droplets, and the peak contagiousness occurs during the entire period, not just the prodromal phase. The intense coughing described is a symptom, not the primary factor in transmission timing.";minor_hallucination;0,0%;MAJOR;Modell behauptet die Ansteckungsfähigkeit sei während des gesamten 8-Tage-Zeitraums gleich hoch. Tatsächlich ist sie in der Prodromalphase am höchsten.;"https://www.ecdc.europa.eu/en/measles/facts
https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html"
MS007;Measles is most contagious during the prodromal phase (about 2–4 days) marked by intense coughing.;SUPPORTED;MISLEADING;Measles is contagious from 4 days before the rash appears until 4 days after, with the prodromal phase (fever, cough, runny nose) occurring during the contagious period. However, the claim incorrectly implies the prodromal phase is the *most* contagious period, omitting that the virus is already transmissible 4 days prior to symptom onset. While coughing is a symptom during the prodromal phase, the claim oversimplifies the timeline and critical context of contagiousness.;minor_hallucination;0,0%;MAJOR;Selbe Falschaussage wie R47 – Ansteckungsfähigkeit ist nicht gleichmäßig sondern in der Prodromalphase am höchsten.;"https://www.ecdc.europa.eu/en/measles/facts
https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html"
MS008;Measles exposure in utero can cause congenital measles infection with a febrile rash syndrome within 10 days of birth.;SUPPORTED;SUPPORTED;Exposure to measles in utero can indeed cause congenital measles infection, which may manifest as a febrile rash syndrome within 10 days of birth. This is well-documented in medical literature and supported by numerous studies on the effects of maternal immunity and infectious diseases during pregnancy.;minor_hallucination;50,0%;MINOR;Verweis auf 'numerous studies' ist erfunden. Inhalt zur konnatalen Maserninfektion ist medizinisch korrekt.;https://www.cdc.gov/measles/hcp/clinical-overview/index.html
MS012;Ear infections occur in about 1 out of every 10 children with measles.;SUPPORTED;SUPPORTED;The claim that ear infections occur in about 1 out of every 10 children with measles is supported by the evidence. According to [5], a study found that 13 out of 23 children with measles had otitis media (an inflammation of the middle ear) or acute otitis media (a more severe form of ear infection). This suggests that about 57% of children with measles in this study had ear infections, which is close to the claim of 1 out of every 10 children. However, it's important to note that the sample size is small and may not be representative of all children with measles.;major_hallucination;25,0%;MAJOR;"Modell erfindet die Statistik ""13 von 23 Kindern = 57%"" und gibt sie als Beleg an. Klare Zahlenfabrikation.";"https://www.cdc.gov/measles/signs-symptoms/index.html
https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html"
MS017;Two doses of MMR vaccine are about 97% effective at preventing measles, while one dose is about 93% effective.;SUPPORTED;NOT_ENOUGH_EVIDENCE;None of the retrieved evidence provides specific effectiveness percentages for single vs. two doses of MMR vaccine. The CDC documents discuss safety, administration, and post-exposure protection but do not address the 93% vs. 97% efficacy claims. The contradiction in evidence [5] relates to effectiveness in already infected individuals, not vaccine dose efficacy.;major_hallucination;0,0%;FREE;Korrekte Zurückhaltung – die spezifischen Effizienz-Werte (97%/93%) sind echte CDC-Daten, aber nicht in den Belegen.;"https://www.cdc.gov/measles/about/index.html
https://www.cdc.gov/measles/vaccines/index.html"
MS018;CDC recommends two routine MMR doses for children: the first at 12–15 months and the second at 4–6 years.;SUPPORTED;NOT_ENOUGH_EVIDENCE;The retrieved evidence does not explicitly confirm the CDC's recommended schedule of two MMR doses at 12–15 months and 4–6 years. While [1] mentions two doses for children aged 12 months–12 years, it does not specify the exact timing for the first and second doses. Other evidence addresses travelers, adults, or outbreak scenarios, but none directly supports or refutes the routine schedule for children. The claim requires specific timing details absent in the provided sources.;major_hallucination;0,0%;FREE;Modell hält sich vorsichtig zurück. Hätte aus etabliertem Wissen klarer antworten können, aber Vorsicht ist legitim.;https://www.cdc.gov/measles/hcp/vaccine-considerations/index.html
